,Header,Summary,Detail,Link,Category,CreationDate
0,PCB officials drawing huge packages told to decide their future,"“The message has been conveyed to all [officials] that the PCB cannot afford such perks which run into millions,"" says source.","LAHORE: Almost all top-level officials of the Pakistan Cricket Board, particularly those who are drawing hefty salaries, have been conveyed the message by high authorities that the PCB cannot afford huge remunerations, and the Board in this regard has given them time to decide about their future with the organisation.
“The message has been conveyed to all [officials] that the PCB cannot afford such perks which run into millions. Therefore, they have to take a decision on their own,” sources further said.
Some top officials will also be shown the door for their poor performances, as many changes are expected in a few days as a result of the change of guard at the top level in the PCB as Najam Sethi, the head of the interim Manag­ement Committee, replaced Ramiz Raja as chairman.
As a long held tradition, whenever PCB chairman is changed a new-look administration is introduced.
Only previous PCB chief Ramiz, who was nominated for the said post by then prime minister Imran Khan, did not make significant changes in the administration while preferring to mainly continue with the team of his predecessor Ehsan Mani, who was also nominated by Imran.
Ramiz brought in Faisal Hasnain after then-chief executive officer Wasim Khan preferred to resign, soon after he (Ramiz) took charge.
When Mani became PCB chairman, he introduced the formula of paying hefty salaries to top officials — three to six times more than the existing packages.
Meanwhile in the first phase, Human Resource Director Sareena Agha’s resignation was accepted by Sethi. Sareena’s resignation will be effective after two months but she will not come to the office anymore.
Moreover, Director High Performance Centre Nadeem Khan is most likely to leave his position as the PCB has decided to replace him with a foreign coach. Nadeem, after meeting Sethi in a couple of days, may resign, sources told Dawn.
Considering huge salaries, the positions of Faisal Hasnain (CEO) and Sami-ul-Hasan Burni (media director) are also in danger, sources said.
In the first briefing of the PCB Management Committee, sources said, Nadeem failed to give satisfactory replies about his performance as the domestic cricket system remained crippled in the last four years during which even registration and scrutiny of clubs across the country could not be completed. For this reason, no office-bearers from district/zone to provincial level could be elected.
Moreover, after the ongoing home series against New Zealand, PCB’s chief medical officer Dr Najeebullah Soo­m­ro, who is also drawing a hefty package, is most likely to quit.
After the New Zealand series, a new team management will be announced and there is a strong chance that South Africa’s Mickey Arthur, the former head coach of Pakistan, will  lead the management.
Though the PCB had contacted Arthur, his reply was expected to be received in the next four, five days, sources further said.
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728953/pcb-officials-drawing-huge-packages-told-to-decide-their-future,sport,2022-12-30
1,NZ put Pakistan in survival mode after Williamson double ton,KARACHI: Pakistan were pushed into survival mode after Kane Williamson posted his fifth double century to boost New...,"KARACHI: Pakistan were pushed into survival mode after Kane Williamson posted his fifth double century to boost New Zealand on the fourth day of the first Test here at the National Stadium on Thursday.
The hosts lost opener Abdullah Shaf­ique and first drop Shan Masood in the closing minutes of the day and will go into the fifth final day trailing by 97 runs on a pitch that is only deteriorating.
While Abdullah threw his wicket cheaply in a failed attempt to clear mid on off off-spinner Michael Bracewell, Shan was undone when a quicker one by leg-spinner Ish Sodhi trapped him lbw on the backfoot.
Abdullah’s opening partner Imam-ul-Haq, however, was nifty with his feet to counter the rough patches on the pitch. The left-hander consistently played the New Zealand spinners off the bounce, scoring five boundaries to reach 45 not out by the close of the day’s play.
Pakistan would need to bat at least until tea on Friday to avoid their fourth consecutive Test defeat on home soil while New Zealand would look to take quick wickets to go 1-0 up in the two-match series.
New Zealand were able to get themselves into pole position thanks to Williamson, who added 95 to his overnight score to reach 200 not out before the visitors declared at 612-9.
The former New Zealand skipper demonstrated flawless technique and composure to make Pakistan spinners Abrar Ahmed and Nauman Ali look ineffective despite the duo putting up a decent bowling show in terms of discipline.
Abrar bowled nearly 68 overs to register his second five-wicket haul in his third Test outing. Nauman, on the other hand, delivered 63 overs for his three wickets.
Abrar, who made his Test debut against England earlier this month, was full of praise for Williamson.
“I’ve bowled to [Joe] Root as well but I think Williamson was extraordinary,” he said. “Even on good balls, it was easy for him to score runs.”
New Zealand had a two-run lead and four wickets in hand when Willi­amson arrived on the crease with Sodhi at the start of the day’s play.
Had it not been for the tailender’s support, Williamson may not have gone on to reach his double hundred and New Zealand may well have been struggling in the match.
The duo did not score too quickly in the morning session but ensured New Zealand kept wickets in hand and kept finding boundaries whenever the Pakistan bowlers faltered.
Sodhi scored New Zealand’s first boundary of the day when he slapped a wide delivery by Moham­mad Wasim through the covers. The right-arm pacer was reversing the old ball but both Sodhi and Williamson played it late off a slow pitch to stay safe.
Williamson freed his arms with a lofted straight-drive over Abrar’s head an over before getting an lbw decision against him reversed when he missed a sweep shot off Nauman.
Pakistan put pacer Mir Hamza into the attack after they took the new ball and the left-armer was tight with his line and length. He came closest to taking a wicket when he beat Sodhi’s outside edge from around the wicket with the batter at 36.
Television replays later showed the ball had taken a slight edge off the right-hander’s bat, but in that moment no Pakistan player appealed.
Sodhi brought up his 50 with a bou­ndary off Abrar early in the second session. In the next over, Williamson reac­hed 150 runs with a four against Hamza.
From that point on, Williamson took on the attack against Abrar and Nau­man, thanks to some brilliant footwork and sweeping from the 32-year-old.
Sodhi became Pakistan’s first breakthrough of the day when a leading edge forced by Abrar found Pakistan captain Babar Azam on mid-off. The dismissal ended Sodhi’s 180-ball knock off 55 balls and his 154-run partnership with Williamson.
New Zealand tailenders Tim Sou­thee and Neil Wagner were easily dismissed by Nauman and Abrar respectively, before Ajaz Patel hung around to ensure Williamson reached his 200.
“.. It was nice to be out there being a part of number of partnerships that were really valuable for us getting a competitive total,” said Williamson. “It has got us in a reasonably good position but there’s a lot of hard work to do and many things can unfold on the day five of a Test match.
Williamson said the Pakistan batters will have be careful playing on the Karachi surface but believed it was not too difficult to bat on.
“It has definitely deteriorated a bit, there’s a lot more rough,” he said. “There’s a few more things to negotiate as a batter, a little bit of variable bounce, but having said that it’s still a very good surface, lot of hard work and patience going in tomorrow.”
SCOREBOARD
PAKISTAN (1st Innings) 438 (Babar Azam 161, Agha Salman 103; Tim Southee 3-69)
NEW ZEALAND (1st Innings, overnight 440-6):
T. Latham c sub (Kamran) b Abrar    113
D. Conway lbw b Nauman  92
K. Williamson not out   200
H. Nicholls b Nauman    22
D. Mitchell c Sarfraz b Abrar   42
T. Blundell lbw b Wasim 47
M. Bracewell c Wasim b Abrar    5
I. Sodhi c Babar b Abrar    65
T. Southee c Shan b Nauman  0
N. Wagner c Salman b Abrar  0
A. Patel not out    0
EXTRAS (B-7, LB-11, NB-1, W-2, PEN-5)   26
TOTAL (for nine wickets decl, 194.5 overs)  612
FALL OF WICKETS: 1-183 (Conway), 2-231 (Latham), 3-272 (Nicholls), 4-337 (Mitchell), 5-427 (Blundell), 6-436 (Bracewell), 7-595 (Sodhi), 8-596 (Southee), 9-597 (Wagner)
BOWLING: Hamza 26-3-83-0, Wasim 34-6-105-1, Abrar 67.5-8-205-5, Nauman 63-5-185-3 (1nb, 2w), Babar 4-1-11-0
PAKISTAN (2nd Innings):
Abdullah Shafique c sub (Phillips) b Bracewell  17
Imam-ul-Haq not out 45
Shan Masood lbw b Sodhi 10
Nauman Ali not out  4
EXTRAS (NB-1)   1
TOTAL (for two wickets, 31 overs)   77
STILL TO BAT: Babar Azam, Saud Shakeel, Sarfraz Ahmed, Agha Salman, Mohammad Wasim, Abrar Ahmed, Mir Hamza
FALL OF WICKETS: 1-47 (Abdullah), 2-71 (Shan)
BOWLING: Southee 6-3-8-0, Patel 9-1-29-0, Bracewell 9-1-23-1, Sodhi 7-1-17-1 (1nb).
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728952/nz-put-pakistan-in-survival-mode-after-williamson-double-ton,sport,2022-12-30
2,Melbourne looks into hosting Test between Pakistan and India,MELBOURNE: The Melbourne Cricket Club (MCC) is looking into the possibility of hosting a Test match between India ...,"MELBOURNE: The Melbourne Cricket Club (MCC) is looking into the possibility of hosting a Test match between India and Pakistan, who have not played each other in the longest format of the game since 2007 with bilateral cricket between the neighbours suspended.
Since India hosted Pakistan in a bilateral limited overs series in 2013 the pair have only competed against each other at 20- and 50-overs World Cups and the Asia Cup.
The last time they met was at the Twenty20 World Cup in October, where more than 90,000 fans piled into the Melbourne Cricket Ground to watch India win a last-ball thriller.
MCC Chief Executive Stuart Fox said the atmosphere at that match showed there would be no problem filling the venue for a Test series between the two.
“The atmosphere for that game, I’ve never felt anything like it,” Fox told radio station SEN.  “The noise after every ball was phenomenal. Three [Tests] in a row would be lovely at the MCG, you’d fill it every time.
“We’ve taken that up with Cricket Australia. I know the [Victoria] government has as well. It’s enormously complicated from what I can understand, amongst a really busy schedule. So I think that’s probably the greater challenge.”
Fox said he hoped Cricket Australia would keep pushing the proposal with the International Cricket Council, the sport’s global governing body. “When you do see some of the stadiums around the world unoccupied, I think it would be much better to have a full house and that atmosphere and celebrating the game with full houses,” Fox added.
The Australian Asso­ciated Press reported that CA is up for bringing India and Pakistan to Australia for a bilateral series as long as the countries agreed to it.
“It would be up to the two countries to agree, but if there was to be a Test between India and Pakistan on neutral territory, we would of course be interested in the opportunity to host it in Australia,” a CA spokesperson told AAP.
“The supporters of the two teams here for the World Cup were amazing and the vast majority of those fans live in Australia.”
Pakistan are scheduled to play at the MCG in next year’s Boxing Day Test, with Fox saying Australia needed to engage better with multicultural fans.
“I’d love to shoot for 91,000 (spectators next December),” Fox said. “We want them [Pakistan fans] here and it would be fantastic to have a full house day one.”
Ahead of the World Cup match, India legend Ravi Shastri told AAP that 150,000 people would attend a game between the famous rivals if capacity allowed.
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728950/melbourne-looks-into-hosting-test-between-pakistan-and-india,sport,2022-12-30
3,Afghanistan name Rashid as T20 captain,This will be Rashid’s second stint as captain.,"KABUL: Rashid Khan will captain Afgha­nistan in Twenty20 internationals after being named as the replacement for Mohammad Nabi by the Afghanistan Cricket Board (ACB) on Thursday.
Nabi stepped down as captain in November, after Afghanistan were eliminated from the T20 World Cup without winning a match.
This will be Rashid’s second stint as captain. The spinner resigned immediately after Afghanistan’s squad was announced for the 2021 World Cup last year, saying the selection committee had not obtained his consent for the team. 
“I have the experience of leading my country before, there is a great bunch of guys with whom I have a good understanding and feel pretty comfortable,” Rashid said. 
“We will try to stick together, will work hard to put things on the right track and bring pride and joy to our country and nation.”
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728949/afghanistan-name-rashid-as-t20-captain,sport,2022-12-30
4,Djokovic can’t forget being deported but ready to move on in Australia,Djokovic was deported on the eve of the 2022 Australian Open in January for not being vaccinated against Covid-19.,"ADELAIDE: Novak Djokovic will never forget how it felt to be deported from Australia earlier this year but the Serb said his willingness to return for next month’s Grand Slam at Melbourne Park shows the depth of feeling he has for the country.
Djokovic was deported on the eve of the 2022 Australian Open in January for not being vaccinated against Covid-19 and received a three-year travel ban for the country.
However, the former world number one’s visa ban was waived in November, opening up a path for Djokovic to target a 10th Australian Open crown and giving him a chance to tie Rafa Nadal’s mark of 22 Grand Slam titles.
“You can’t forget those events, it’s one of those things that stick with you,” said Djokovic in his first news conference since returning to Australia.
“It stays with you for the rest of your life. It’s something I’ve never experienced before and hopefully never again, but it is a valuable life experience for me.
“But I have to move on and coming back to Australia speaks about how I feel about this country and how I feel about playing here.”
Djokovic will warm up for the Australian Open by playing in the Adelaide International starting on Jan 1 and he is hoping for a warm reception from local fans.
“It’s a great place and the people in Adelaide, and generally in Australia, love tennis, love sports and it’s a sporting nation so hopefully we’re going to have a lot of people watching and we can have a good time,” Djokovic said.
“I’m hoping everything is going to be positive. Obviously, it’s not something that I can predict. I’ll do my best to play some good tennis and bring good emotions and good feelings to the crowd.”
Djokovic said his overall experience in Australia had not been soured by what happened in January.
“What happened 12 months ago was not easy to digest for some time but at the same time I had to move on. Those circumstances will not replace what I have lived in Melbourne and in Australia throughout my entire career,” Djokovic said.
“So I come with positive emotions and I really look forward to playing there. It’s been my favourite Grand Slam, the results prove that.”
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728948/djokovic-cant-forget-being-deported-but-ready-to-move-on-in-australia,sport,2022-12-30
5,Australia hammer South Africa in Melbourne to win Test series,"MELBOURNE: South Africa were on the wrong end of a “hammering” against rampant top-ranked Australia on Thursday,...","MELBOURNE: South Africa were on the wrong end of a “hammering” against rampant top-ranked Australia on Thursday, losing the second Test by 182 runs and with it the series.
The loss capped a dismal first two Tests for the visitors who slumped by six wickets in the opener at Brisbane inside two days, with a potential face-saving third match at Sydney still to play. 
“It is not easy at the moment. That was bit of a hammering,” Proteas skipper Dean Elgar said.
Australia declared on Wedne­sday at 575-8 built on the back of man-of-the-match Warner’s 200 and a gutsy 85 from Steve Smith in searing heat, in reply to South Africa’s first innings 189, and then took complete control with the ball.
South Africa resumed day four on 15-1 after Elgar went for a duck before rain halted play early on Wednesday.
But their resistance didn’t last long with three wickets falling before lunch at the Melbourne Cricket Ground and the rest in the second session as they succumbed for 204.
Temba Bavuma top-scored with 65 while Nathan Lyon took 3-58 in a depleted, injury-hit, attack. 
“The win is right up there. We have had a number of great contests against South Africa over the years. It’s really sweet and something to be proud of,” said Australian skipper Pat Cumm­ins. “I thought how Warner and Smith batted in the heat was pretty gutsy. 
“(Mitchell) Starc and (Came­ron) Green as well, put their injuries behind them and turned up.” 
It leaves South Africa facing a trip to Sydney next week for the final Test with only pride to play for and potentially some changes to a batting line up that has largely failed to fire. 
“We have got to do a lot of reflection going ahead once again. There are a few positives coming out of this Test but not a lot,” Elgar said. “There’s lot to play for (in Sydney), South Africa are a proud cricketing nation and 2-1 sounds a lot better than 3-0,” he added.
Australia will have a new-look team with Green and Starc already ruled out with finger injuries as they race the clock to be ready for a blockbuster series in India in February.
Josh Hazlewood is set to return for Starc after recovering from a side strain, with Green’s replacement to be decided.
The wickets fell despite the hosts’ attack being depleted, with Green, who took 5-27 in their first innings, not bowling due to a fractured finger.
Theunis de Bruyn (28), Sarel Erwee (21) and Khaya Zondo (one) all departed before lunch at the hands of Australia’s high-class pace attack.
Then the spin of Nathan Lyon, and two careless run outs, ended any hope they had in the second session.
Starc was also nursing a bruised and bloodied finger, but he played through the pain and his sheer pace caused plenty of problems.
Erwee, who resumed on seven, hit a superb drive for four off him as his confidence grew, but Starc quickly got his revenge, trapping him lbw with a cracking yorker.
De Bruyn began on six and built up to 28, but he soon followed his team-mate back to the pavilion.
This time Scott Boland did the damage, enticing an edge that was taken by the ever-reliable Smith in the slips for his 150th catch. He is 14th on the all-time list, led by Indian great Rahul Dravid’s 210.
South Africa were under the pump and needed to dig in, but Bavuma inexplicably attempted a single from Cummins and Khaya Zondo was easily run out by a Travis Head underarm throw.
It left them teetering at 65-4 before Bavuma and Kyle Verre­ynne knuckled down.
But Boland struck again soon after lunch with Verreynne, one of their best batsmen this series, out lbw for 33.
Lyon’s spin removed Marco Jansen before another disastrous run out involving Bavuma, with Keshav Maharaj out after a confusing mix-up and Starc made a direct hit.
More weak dismissals by Lyon and a rare wicket for Smith ended the match.
SCOREBOARD
SOUTH AFRICA (1st Innings) 189 (M. Jansen 59, K. Verreynne 52; C. Green 5-27, M. Starc 2-39)
AUSTRALIA (1st Innings) 575-8 decl (D. Warner 200, A. Carey 111, S. Smith 85; A. Nortje 3-92)
SOUTH AFRICA (2nd Innings, overnight 15-1)
D. Elgar c Carey b Cummins  0
S. Erwee lbw Starc  21
T. De Bruyn c Smith b Boland    28
T. Bavuma c sub (Harris) b Lyon 65
K. Zondo run out    1
K. Verreynne lbw Boland 33
M. Jansen lbw Lyon  5
K. Maharaj run out  13
K. Rabada c Cummins b Lyon  3
A. Nortje not out   8
L. Ngidi b Smith    19
EXTRAS (B-1, LB-5, NB-2)    8
TOTAL (all out, 68.5 overs) 204
FALL OF WICKETS: 1-0 (Elgar), 2-47 (Erwee), 3-57 (De Bruyn), 4-65 (Zondo), 5-128 (Verreynne), 6-144 (Jansen), 7-174 (Maharaj), 8-176 (Bavuma), 9-177 (Rabada)
BOWLING: Starc 18-4-62-1, Cummins 16-8-20-1 (2nb), Boland 15-2-49-2, Lyon 17-1-58-3, Smith 2.5-0-9-1
RESULT: Australia won the match by an innings and 182 runs.
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728946/australia-hammer-south-africa-in-melbourne-to-win-test-series,sport,2022-12-30
6,Haaland scores twice as City cruise past Leeds,LEEDS: Erling Haaland continued his incredible season in front of goal with a brace to help Manchester City cruise ...,"LEEDS: Erling Haaland continued his incredible season in front of goal with a brace to help Manchester City cruise to a 3-1 victory at Leeds United on Wednesday, ensuring the champions closed the gap to Premier League leaders Arsenal to five points.
The visitors had a hosts of chances in the first half, with Haaland twice denied by fine saves from home goalkeeper Illan Meslier, while England forward Jack Grealish blazed two efforts over from good positions.
It appeared City would go into the interval frustrated, before Spanish midfielder Rodri finally made one count in first half stoppage time, firing home after another Meslier save.
Back in the city of his birth, where his father was a player for Leeds, Norway international Haaland effectively put the game to bed early in the second half with a simple finish, before taking his league tally to 20 for the season in the 64th minute.
Pascal Struijk gave home supporters faint hope of a comeback as he headed home with 17 minutes left, but it was always going to be a consolation against City in this mood.
The victory helped City leapfrog Newcastle into second in the table and move back to within five points of Arsenal at the top of the standings, while Leeds stay 15th, two points clear of the relegation zone.
“I have a (goal) target but I cannot say it,” Haaland told Amazon.  “I just said inside the dressing room that I could have scored five but the most important thing is that we won.
“We have to hunt Arsenal. I could have scored a couple more but that’s life and I have to train more.”
City lost their last league match before the World Cup break to Brentford but dominated from the off in West Yorkshire, with Haaland wasting no time in having a first attempt at goal, seeing his effort to loft the ball into the net well saved after just 36 seconds.
Against the side they conceded 11 goals over two league matches last term, Leeds remained up against it as Haaland was presented with another golden chance to break the deadlock but he again could not beat Meslier.
Kevin De Bruyne opened up the Leeds defence for the opener and when  Riyad Mahrez’s shot was parried by Meslier, Rodri, with City’s 16th shot of the opening period alone, swept the rebound into  the net.
Alfie Haaland took 181 Premier League appearances to score 18 goals in the competition, but his son needed just 14 to overtake him, slotting home Grealish’s pass six minutes into the second half to double City’s lead.
Haaland then smashed the record for number of games needed to reach the 20 mark by converting another Grealish pass to make it three, needing seven fewer matches to reach such a goal tally than the next quickest, Kevin Phillips.
Leeds boss Jesse Marsch felt the timing of the goals his side conceded were their undoing.
“One thing you know about City is that they are able to manipulate the game with possession and unbalance you but they were able to get us on the transition twice and there was a give away from us which gifted them a goal,” Marsch said.
“We contained them well in the first half and we were pretty stable. Then that early goal after the break killed us.”
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728931/haaland-scores-twice-as-city-cruise-past-leeds,sport,2022-12-30
7,Holder Shabbir in five-way tie atop CNS Open leaderboard,"KARACHI: If Shabbir Iqbal goes on to win the CNS Open Golf Championship on Sunday, it will see him win exactly half...","KARACHI: If Shabbir Iqbal goes on to win the CNS Open Golf Championship on Sunday, it will see him win exactly half the editions of the tournament held so far.
The defending champion, a 12-time winner of the CNS Open, made the perfect start to his title defence at the Karachi Golf Course on Thursday — only that, there are four others tied with him atop the leaderboard after the first round.
Shabbir was one of five golfers who fired three-under 69 as the tournament teed off on a cloudy morning that gave way to bright sunshine in the afternoon. Alongside him were Hamza Amin, his old rival Moham­mad Munir, Mohammad Naeem and Abdul Zahoor.
“It was a great day for golf,” Munir told Dawn. “The hope is that it continues.”
A shot behind the leaders is Amjad Yousuf and he’s followed by Mohammad Saqib and Mohammad Shahzad, who are tied at 71.
A group of six returned a card of even-par 72 namely Talat Ijaz, Ghazanfar Mehm­ood, Mohammad Sharif, Kha­lid Khan, Mohammad Naqas and Mohammad Sajjad.
Waheed Baloch, the 2013 winner, is in a group of 12 who finished at one-over 73 with Matloob Ahmed, the champion before Shabbir’s victory last year, was among another dozen at 74.
Last year’s runner-up Ahmed Baig finds himself six shots off the lead at 75 after the opening 18 holes and has work to do over the next three rounds.
Nisar Hussain leads the senior professionals after he shot a three-under 69 for a stroke’s lead over Irfan Mehmood.
There’s a more pronounced advantage in the junior professionals’ event with Moha­m­mad Sahil (71) holding a nine-shot lead over Abid Iqbal.
Saad Habib and Saim Sha­zli, the gross winner at last week’s SGA President’s Cup, lead the amateurs’ contest after both finished with 75 in the first round. Salman Jaha­ngir is a shot behind the leading duo.
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728930/holder-shabbir-in-five-way-tie-atop-cns-open-leaderboard,sport,2022-12-30
8,"Ahsan, Bilal lose second successive matches at national snooker",KARACHI: Former world champion and second seed Ahsan Ramzan and wild card Mohammad Bilal tasted second successive...,"KARACHI: Former world champion and second seed Ahsan Ramzan and wild card Mohammad Bilal tasted second successive defeat in as many days in the NBP 47th National Snooker Championship here at the bank’s sports complex on Thursday.
Ahsan, who lost his group ‘B’ opener to Punjab’s qualifier Rana Irfan the other day, was caught on the wrong foot again losing 2-4 to Sindh’s Ali Hamza. The latter won the duel 5-92, 55-48, 48-17, 17-58, 69-11, 66-62.
Two-time former national champion Bilal received a 4-1 drubbing at the hands of Islamabad’s Shah Namat with the scores being 54-29, 65-15, 28-75, 71-45, 62-21.
In an all-Punjab clash, Waseem Abbas humbled fourth seed Haris Tahir 4-1 (80-12, 55-68, 78-30, 59-34, 87-45).
Despite scoring the competition’s highest break of 141, former national champion and fifth seed Shahid Aftab went down to Farrukh Usman 3-4 in a fully-stretched match. Farrukh was home 60-70, 47-40, 57-26, 0-141, 42-73, 64-0, 57-38.
Meanwhile, top seed Mohammad Sajjad kept his winning run intact inflicting a 4-1 (67-46, 70-43, 66-43, 54-61, 78-1) defeat on Jahanzaib Jahangir.
Results:
Farrukh Usman bt Shahid Aftab 4-3 (60-70, 47-40, 57-26, 0-141, 42-73, 64-0, 57-38); Abdul Javed bt Fawad Khan 4-2 (97-21, 51-91, 61-26, 78-67, 57-63, 61-50); Zulfiqar A. Qadir bt Mohammad Ijaz 4-0 (101-27, 74-62, 85-0, 56-47); Adil A. Jabbar bt M. Iftikhar 4-0 (74-32, 61-7, 90-8, 65-26); Mohammad Faizan bt Rizwan Aziz 4-0 (49-21, 59-18, 72-1, 61-29); Sharjeel Mehmood bt Mubashir Raza 4-1 (80-39, 70-58, 50-14, 36-67, 55-42); Awaisullah Munir bt Saif Ali Khan 4-0 (86-18, 70-0, 60-24, 79-18); Sultan Mohammad bt Amir Shehzad 4-3 (16-54, 66-31, 47-68, 77-13, 38-70, 72-36, 55-23); Mohammad Sajjad bt Jahanzaib Jahangir 4-1 (67-46, 70-43, 66-43, 54-61, 78-1); Shah Namat bt Mohammad Bilal 4-1 (54-29, 65-15, 28-75, 71-45, 62-21); Ali Hamza bt Ahsan Ramzan 4-2 (5-92, 55-48, 48-17, 17-58, 69-11, 66-62); Sirbuland Khan bt Rana Irfan 4-3 (56-60, 31-74, 43-63, 69-61, 70-0, 71-23, 62-23); Waseem Abbas bt Haris Tahir 4-1 (80-12, 55-68, 78-30, 59-34, 87-45).
Wednesday’s remaining matches:
Adil A. Jabbar bt Mohammad Ijaz 4-3 (114-6, 24-69, 31-73, 81-0, 30-71, 105-53, 78-65); Mubashir Raza bt Mohammad Faizan 4-1 (65-33, 5-66, 85-47, 76-10, 107-14); Sharjeel Mehmood bt Rizwan Aziz 4-1 (33-80, 60-9, 75-1, 61-2, 92-50); Awaisullah Munir bt Amir Shehzad 4-2 (105-7, 66-57, 61-73, 15-57, 60-27, 68-6); Sultan Mohammad bt Saif Ali Khan 4-0 (68-30, 82-4, 91-50, 53-3).
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728928/ahsan-bilal-lose-second-successive-matches-at-national-snooker,sport,2022-12-30
9,Olympic champion Mayer announces retirement,VIENNA: Three-time Olympic champion Matthias Mayer of Austria announced his retirement from Alpine skiing on...,"VIENNA: Three-time Olympic champion Matthias Mayer of Austria announced his retirement from Alpine skiing on Thursday, saying he had arrived at the decision after days of consideration.
The 32-year-old had a successful outing at this year’s Winter Games in Beijing, taking home gold in the super-G and bronze in the downhill race.
He also claimed super-G gold at the Olympics in Pyeongchang as well as the downhill gold in Sochi. In addition to his Olympic medals, Mayer also racked up 11 World Cup victories.
“There is no main reason, I simply don’t have the bite anymore. I’ve been thinking about it over the last few days and the time has come to stop,” Mayer told reporters in Bormio, Italy.
“Risk has been my passion, but now I have reached the limit.”
Matthias added he will not be competing in the super-G World Cup event in Bormio later on Thursday.
Published in Dawn, December 30th, 2022
",https://www.dawn.com/news/1728927/olympic-champion-mayer-announces-retirement,sport,2022-12-30
