,Header,Summary,Detail
0,Over 10 diagnosed with Covid,ISLAMABAD: As many as 13 people - one in Rawalpindi and 12 in Islamabad district — were diagnosed with Covid-19 on...,"ISLAMABAD: As many as 13 people - one in Rawalpindi and 12 in Islamabad district — were diagnosed with Covid-19 on Thursday. Positivity ratio in the capital was traced at 1.4 percent whereas in Rawalpindi district, it was traced at 0.9pc.
Officials of the capital administration said that during the last 24 hours 827 tests were conducted. Four cases were reported in the age group of 30-39, followed by three in 20-29, two in 70-79, and one each in 0-9, 10-19, and 80 and above.
Likewise, two cases were reported from G-9, followed by one each from Lohi Bher, Rawat, F-7, F-6, I-9 and Rawal Town, they said, adding addresses of four cases were not known.
The number of active cases of the virus in the capital reduced to 163 on Thursday, the officials said, adding out of the total 32 are admitted in hospitals, 29 are on oxygen support and three are on ventilators.
Meanwhile, in Rawalpindi district, nine patients recovered from the disease during the last 24 hours.
District Health Authority (DHA) spokesman Dr Waqar Ahmed told Dawn that the number of patients had reduced. “Due to March 23 holiday, less people turned to laboratories for Covid-19 test. Positivity ratio in the district also sharply reduced in the last two weeks,” he said, adding presently, there was no critically ill patient in hospitals whereas no death was reported in the district during the last six days.
A total of 1,098 samples were collected and 1,097 were declared negative. In Rawalpindi district, there are 62 active patients. As many as three are in hospitals and 59 patients are home isolated. One patient was reported from Potohar Town.
There are three patients admitted in different hospitals of Rawalpindi city including one patient each in Bilal Hospital, Fauji Foundation Hospital and Rawalpindi Institute of Urology (RIU), respectively.
There is no patient on a ventilator however one patient is on oxygen support and two are stable.
Published in Dawn, March 25th, 2022
"
1,Two fall to death in Neelum valley,MUZAFFARABAD: Two men lost their lives and one survived after falling from a dangerous track during an alleged...,"MUZAFFARABAD: Two men lost their lives and one survived after falling from a dangerous track during an alleged hunting trip in the lower belt of Neelum valley, police said on Thursday.
Ikhlaq Mir, Shahid Rasheed and Raja Rafique had gone into a jungle on the outskirts of Salkhala village early on Wednesday morning for hunting.
According to police, on their way back, the trio were holding each other’s hands while trekking through a narrow and dangerously sloped track amid downpour.
However, as they lost balance the first two rolled down hundreds of feet into a gorge while the third survived with wounds after he clung on to tree branches.
The survivor blew whistles and turned on the flashlight on his mobile phone to draw the attention of villagers who rescued him at about 9pm on Wednesday.
As the search for the missing persons was launched at the crack of dawn on Thursday, their bodies were found lying hundreds of feet down in a gorge, police said.
Published in Dawn, March 25th, 2022
"
2,Pollen count rises; hot weather to continue,ISLAMABAD: The pollen count continues to rise in the federal capital amid the very warm and dry weather conditions...,"ISLAMABAD: The pollen count continues to rise in the federal capital amid the very warm and dry weather conditions and the bad news for the allergy sensitive people is that there is no sign of rainfall in coming days.
The pollen count has reached 41,224 particles per cubic metre (PPM) in H-8.
The hot, dry and windy conditions result in higher pollen and mold concentrations, and increased allergy symptoms because pollens are microscopic particles and easily spread over great distances by wind.
On the other hand, the Met Office has predicted that the hot and dry weather conditions will prevail till the end of the current month.
It also predicted below normal precipitation over most parts of the country, including northern Punjab and Islamabad, in April and May.
Extremely high concentrations of pollen are observed in March and April that start to fade off in May and June. However, there is a pollen concentration in the monsoon season too in the federal capital.
The pollen grains are the male tiny particles which are released from trees, weeds and grasses. The pollen grains function is to fertilise other parts of plants but many never reach their targets and remain suspended in the atmosphere.
Most species of pollen have some level of allergenicity but not all of them cause sensitivities for humans.
Islamabad is among the cities with the highest pollen counts in the world because of the population of paper mulberry trees.
The pollen count from the paper mulberry and other sources, including pines, grasses, flowers and some fungi, was less than 7,000 PPM in F-10 while in E-8 and G-6 it was recorded at 8,184 and 7,942, respectively.
Published in Dawn, March 25th, 2022
"
3,"PTI allowed to hold power show at Islamabad's Parade Ground, PDM at Peshawar Mor",Organisers of the PTI and JUI-F rallies have been asked to submit an undertaking to abide by the terms and conditions of the NOC.,"ISLAMABAD: The capital administration has granted permission to both the ruling Pakistan Tehreek-i-Insaf (PTI) and the opposition Pakistan Democratic Movement (PDM) to hold separate public gatherings in the city on different dates and at different venues.
According to officials of the administration, the PTI has been granted permission to hold its public meeting at Parade Ground at Shakarparian on March 27 whereas the opposition parties can arrange their gathering at a plot adjacent to the weekly bazaar near Peshawar Mor at H-9 the next day.
They said a no-objection certificate (NOC) had earlier been issued to the PDM for the public gathering on March 25. However, since the opposition changed the date, a fresh NOC would now be issued to it.
The application seeking permission for the opposition’s gathering had been submitted by Jamiat Ulema-i-Islam (JUI-F) Senator Kamran Murtaza.
The PDM rally, which is also expected to be addressed by Pakistan People’s Party (PPP) leaders, will be held at the same place where the JUI-F had staged a 14-day long march in October 2018.

Organisers warned against resorting to violence, clashes

After submission of the no-confidence resolution against Prime Minister Imran Khan by the opposition on March 8, the PTI had announced that it would hold a public meeting at D-Chowk outside the Parliament House on the day of voting on the no-confidence resolution, threatening that dissident MNAs would have to pass through one million people while going to the Parliament House.
Also read: PM Imran calls on nation to participate in PTI's March 27 power show
In response, the opposition PDM had declared that it would also hold a rally at the same place and same time in order to provide protection to the members.
The announcements by the two sides had created a fear of direct confrontation and violence in the capital on the day of voting on the no-trust resolution, prompting the Supreme Court Bar Association (SCBA) to approach the apex court in order to prevent the possible clash.
The SC, after hearing the two sides, banned public meetings at D-Chowk and directed the administration not to allow the two sides to hold gatherings at the same venue.
Speaking at a news conference, leaders of the main opposition Pakistan Muslim League-Nawaz (PML-N) and the JUI-F announced complete details and the route of the opposition rallies.
PML-N’s Tariq Fazal Chaudhry said the party‘s long march would start from Lahore on March 26 and it would be led by party’s vice president Maryam Nawaz and opposition leader in the Punjab Assembly Hamza Shehbaz.
He said before reaching Islamabad on March 28, the participants of the march would have overnight stays at Gujranwala and Sara-i-Alamgir.
The PML-N leaders would also hold a public rally at Jhelum on March 28 before entering the capital. He said the party workers and leaders from southern Punjab and other parts of the country would directly reach the public meeting venue.
JUI-F leader Hafiz Hamdullah said a caravan had already left Karachi on Thursday for Islamabad whereas a rally comprising thousands of vehicles would leave Quetta on Friday (today). He said that the participants from Balochistan would reach Dera Ismail Khan via Zhob from where they would depart for Islamabad under the leadership of JUI-F chief Maulana Fazlur Rehman.
Mr Hamdullah said all the JUI-F caravans from KP and Balochistan would gather at Hakla Interchange on the motorway before marching towards Peshawar Mor at Srinagar Highway.
Interestingly, the JUI-F leader announced that they would reach Islamabad on March 26 and would remain in the city till March 28. He said the rally would be addressed by PML-N President Shehbaz Sharif, JUI-F chief Maulana Fazlur Rehman and PPP Chairman Bilawal Bhutto Zardari besides other leaders of the PDM component parties, which also include Balochistan National Party (BNP-Mengal), Pakhtunkhwa Mili Awami Party of Mehmood Khan Achakzai and Qaumi Watan Party of Aftab Sherpao.
He said the future plan of the opposition would be announced by their leadership during the public meeting on March 28.
Tariq Chaudhry claimed that it would be the biggest ever public gathering in the history of Islamabad. He hoped that the administration would not create any hurdles for them, adding Islamabad is our city and the safety of the city is our responsibility.
The organisers of the PTI and JUI-F rallies had been asked to submit an undertaking to abide by the terms and conditions of the NOC. In case the undertaking is not submitted, the issuance of the order and receipt of the same are deemed to have been read and acknowledged by the applicants
The NOC issued to JUI-F stated that the information collected through sources indicated that the participants of its public gathering were preparing themselves for clashes/violence with rival political parties or with general public.
The two NOCs further said the report recommended that the permission for holding a rally, for one day only, may only be granted at a designated place.
The NOC issued to JUI-F said it must be ensured that Srinagar Highway remains open for general public and in case of violence/clashes by participants, the criminal liability and responsibility shall remain with the organisers.
The NOC issued to the PTI said it must be ensured that Islamabad Highway/Expressway and Murree Road remain open for general public.
Published in Dawn, March 25th, 2022
"
4,"Comstech body approves joint ventures in higher education, research & health","ISLAMABAD: The steering committee on the implementation of the OIC science, technology and innovation on Thursday...","ISLAMABAD: The steering committee on the implementation of the OIC science, technology and innovation on Thursday approved joint venturesin areas such as higher education and research, health, medicine and vaccine development.
These decisions were taken on the sidelines of the recently concluded OIC Council of Foreign Ministers meeting as the Steering Committee for Implementation of the OIC Science, Technology and Innovation Agenda 2026 held a daylong meeting at the Comstech Secretariat here. The purpose of the meeting was to review the progress and to plan various science and technology related initiatives for the member states.
The meeting organised and chaired by Comstech was attended by all the leading institutions and specialised organisations of the OIC that focused on different areas of science, technology, innovation and their applications.
Besides, the heads and representatives of 12 OIC organisations participated physically and two others online.
The committee approved an extended plan of action based on joint initiatives involving various member organisations and partners in areas such as higher education and research, health, medicine, vaccine development, food security, water resources and emerging technologies.
Of special consideration for the meeting was the decision to focus on the lessor developed African countries and to create programmes for the development of their manpower and useful technologies. The meeting endorsed the need not only to support projects that channelised science and technology for development but also to create programmes that inculcated the spirit of inquiry and creativity in the youth.
Comstech Coordinator GeneralProf Mohammad Iqbal Chaudhry reviewed the working of the committee for the past few years and the plans for the future. He also presented to the committee the prototypes of the ongoing Comstech initiative on preparing STI reports for each of the OIC member states.
Assistant Secretary General (S&T) of the OIC, Ambassador Askar Mussinov, apprised the members of the needs for African member states as well as expectation of the OIC that the steering committee would play a leading role in steering the member states towards meaningful activities to fulfil the goals of the OIC STI Agenda 2026 and the Abu Dhabi Declaration; the outcomes of the first and second OIC S&T summits, respectively.
The meeting ended with the resolve to initiate various joint efforts as presented in the approved action matrix and also to set in motion the evaluation process of the implementation of science and technology agenda for the past five years.
Published in Dawn, March 25th, 2022
"
5,Pakistan Movement Park inaugurated,ISLAMABAD: the Capital Development Authority (CDA) Chairman Amer Ali Ahmed on Thursday inaugurated Pakistan Movement...,"ISLAMABAD: the Capital Development Authority (CDA) Chairman Amer Ali Ahmed on Thursday inaugurated Pakistan Movement Park in Sector H-8.
According to CDA, the park was developed to provide entertainment and information facilities to the citizens of Islamabad and the next generation. The park is built under the shadow of the largest Pakistani flag installed in the sector.
“The park built along Islamabad Highway in Sector H-8, has a walk-through history museum as well as two-dimensional and 3D-designed walls on which the history of Pakistan dates back to its inception.
The biggest migration has also been pictured so that the new generation can have a historical awareness of Independence of Pakistan and to remember the great sacrifices made during the migration,” read a statement issued by CDA.
It said that park has been built with the idea of providing educational as well as entertaining information to the people as directed by the management of CDA as the park will also provide educational information to the people as an open museum.
“The purpose of building Park is to highlight sacrifices made during the Pakistan Movement and the biggest migration in history could be passed on to the new generation in terms of education and information,” the statement said adding that work is in progress to provide other facilities in the park, including swings, walkways, jogging track, cycling track for children to play.
“To keep the environment green and fresh, seasonal flowers of different colours are also being planted in the park so that the citizens visiting the park can fully enjoy the atmosphere. Apart from this, benches, lighting, security, parking and other necessary arrangements for sitting in the park are also being made expeditiously,” it said.
Published in Dawn, March 25th, 2022
"
6,IHC hints at imposing fine on PTI's Kanwal Shauzab for baseless litigation,Shauzab had a brawl with her neighbours over the beautification of a nullah adjacent to her house in Islamabad's F-11.,"ISLAMABAD: The Islamabad High Court (IHC) has hinted imposing a fine on a PTI lawmaker under the Cost of Litigation Act for baseless litigation after she challenged the order of a local court for registration of an FIR against her for allegedly manhandling an elderly couple. 
The court was hearing a petition filed by Member National Assembly (MNA) Kanwal Shauzab. Ms Shauzab had a brawl with Mohammad Abdul Rehman and his wife Fatima Rehman over the beautification of a nullah adjacent to her house in F-11. 
The lawmaker’s husband lodged a complaint against them with the cybercrime wing of the Federal Investigation Agency (FIA) for making a video of the beautification work and uploading it on social media. 
The neighbours, on the other hand, filed a complaint in the local police, stating Ms Shauzab and her security guard manhandled them. 
After the police did not register the FIR, the additional district and sessions judge ordered the registration of the case which Ms Shauzab challenged in the IHC.  
During the hearing, IHC Chief Justice Athar Minallah observed that the petition appeared to be a classic example of grave abuse of power by the FIA. 
The dispute between Ms Shauzab and her neighbours began when the Capital Development Authority and the Metropolitan Corporation Islamabad started cleaning the area and initiating construction work on a rainwater ravine after the lawmaker shifted to her house at F-11. 
After perusal of the record, the court noted that “there was admittedly an extraordinary activity by the CDA and the MCI when the MNA moved to her house in F-11.  
“Both the public bodies started activities that also involved expense from the public exchequer. There was significant activity and construction work to make the rainwater ravine and the area around the house more presentable.” 
The court expressed displeasure over the conduct of the MNA and noted: “It appeared that she did not realise that she was a public officeholder and not an ordinary citizen.” 
The court order stated that “in order to ensure fairness, transparency and to meet the ends of justice, the court appoints Asad Umer, minister for planning, and Senator Syed Ali Zafar advocate as amici curiae to assist the court. They shall also assist the court as to why the application filed by Ms Shauzab may not be allowed by ordering payment of exemplary costs to the two senior citizens who were subjected to abuse of powers by the FIA.”  
The investigating officer and the director cybercrime FIA were also put on notice to explain why they may also not be ordered to pay exemplary costs. 
The court put the elderly neighbours of the lawmaker on notice telling them that they “will be at liberty to file their affidavit of costs under the Cost of Litigation Act 2017.”
Published in Dawn, March 25th, 2022
"
7,AJK PTI gears up for public meeting,"MUZAFFARABAD: Sardar Tanveer Ilyas, regional president of the Azad Jammu and Kashmir (AJK) chapter of PTI, has...","MUZAFFARABAD: Sardar Tanveer Ilyas, regional president of the Azad Jammu and Kashmir (AJK) chapter of PTI, has convened a meeting of the party’s governing body on Friday in connection with March 27 power show on the call of Prime Minister Imran Khan.
According to a press release issued on Thursday, invitation for the meeting, being held at Mr Ilyas’ residence in the federal capital, was also extended to the parliamentary party members, including AJK prime minister and ministers, party ticket holders as well as office bearers of PTI’s affiliates.
The meeting would discuss arrangements and other allied issues with regard to participation from AJK, the press release said.
Only two days ago, AJK premier Sardar Abdul Qayyum Niazi had constituted three divisional committees “in consultation with the cabinet, Legislative Assembly and AJK Council members as well as party ticket holders to ensure maximum participation of Kashmiris in the March 27 gathering.”
Additionally, Mr Niazi had also established a ‘coordination and mobilisation cell’ to establish liaison with the committees regarding arrangements for mobilisation of the masses from AJK territory as well as the Pakistan based Kashmiri refugees for the March 27 public meeting at Parade Ground, Islamabad.
According to a press release issued on Tuesday, the committees in Muzaffarabad, Poonch and Mirpur division was respectively headed by minister for local government and rural development Khawaja Farooq Ahmed, minister for population welfare Sardar Muhammad Hussain and party’s regional senior vice president Chaudhry Zafar Anwar.
Published in Dawn, March 25th, 2022
"
8,Mountains pride awards to be given to eight professionals,ISLAMABAD: Eight professionals serving mountain communities and making effort towards conservation and development ...,"ISLAMABAD: Eight professionals serving mountain communities and making effort towards conservation and development of natural resources of mountains will be awarded the second Pakistan Mountains Pride Award (Pampa).
The winners are Zahid Baig Mirza (national) and Khawaja Lashkar Hussain Azad from Azad Jammu and Kashmir (regional) for mountain ecosystems conservation, Bibi Hassan (Gulmit) and Hasina Haider (Shiger) for their services for women’s development, Sirbaz Khan for scaling most of the highest peaks, Mohammad Iqbal for his lifelong services towards promoting sustainable mountain tourism in Gilgit-Baltistan, and musicians and singers for promoting mountain music. They will all receive trophies. 
The event, to be held on March 31, has been organised by Development Communications Network (Devcom-Pakistan) in Islamabad with the support of the National Rural Support Programme (NRSP), Oil and Gas Development Company Ltd (OGDCL) Corporate Social Responsibility (CSR) programme and the Westminster Academy.
The five categories for which the award is given include: Agostino Da Polenza Mountain Conservation Award, Shoaib Sultan Khan Community Development Award, Nazir Sabir Mountaineering Award, Ashraf Aman Sustainable Mountain Tourism Award and Ustad Jan Ali Mountain Music Award.
Devcom Executive Director Munir Ahmed said, “We need to recognise the services of individuals and organisations that have played a key role towards inspiring others for mountain conservation, mountaineering, community development, tourism and culture. It is essential to attract others to follow the footprints of living legends and dedicated practitioners. 
“The award is just a token of appreciation for the exemplary work of our best professionals when they are breathing with us. Many human souls are working selflessly in the highlands and are not known to people downstream.”
Published in Dawn, March 25th, 2022
"
9,Water shortage complaints rise in cantonment areas,"RAWALPINDI: With the rise in the temperature, complaints about water shortage in cantonment areas have also started...","RAWALPINDI: With the rise in the temperature, complaints about water shortage in cantonment areas have also started to increase.  
Mohammad Anwar, a resident of Misrial Road, said water shortage had created problems for the residents as they had to pay Rs1,700 to Rs2,000 to private tankers while supply from Rawalpindi Cantonment Board (RCB) had not improved in the last three years.  
Abdullah Khan, of Naseerabad, said that the civic body had failed to solve the water shortage problem.
Sajid Mehmood, a resident of Lal Kurti, said Chaklala Cantonment Board (CCB) had also failed to supply water regularly. 
Abdul Hameed, of Kamalabad, said that with the start of the hot weather, people faced water shortage. He said the civic body was of the view that it was getting less water from Khanpur Dam.  
When contacted, CCB’s elected member Raja Irfan Imtiaz said there were a few tubewells in the area and the residents mostly depended on water supply from Khanpur Dam.  
However, he said RCB was providing less water to the CCB which created problems in the area.
“According to the ratio, RCB has to provide four million gallon daily (MGD) water to Chaklala but it is providing only two MGD which is less than the requirement,” he said.  
He said water shortage was the main issue in the cantonment area and for the last over three years “we have been raising the issue with the federal government but to no avail.”
Published in Dawn, March 25th, 2022
"
